ID,ScientificName,Dak_Cval,AB_Cval,KS_Cval,IL_Cval,Dispersal_syndrome,Dispersal_unit_type,Leaf_arrangement_type,Leaf_color,Leaf_compoundness,Leaf_phenology,Leaf_phenology_type,Leaf_shape,Photosynthesis_pathway,Plant_growth_form,Plant_growth_rate,Plant_lifespan,Plant_propagation_type,Plant_resprouting_capacity,Plant_tolerance_to_drought,Plant_tolerance_to_fire,Plant_tolerance_to_salt,Plant_tolerance_to_shade,Plant_vegetative_regeneration_capacity,Plant_woodiness,Seed_germination_requirement,Seed_storage_behaviour,LDMC,leafN_drymass,Seed_germ_rate,Seed_mass,SLA_no_petiole_or_rachis,SLA_plus_petiole_and_rachis,Veg_height
162,Calystegia macounii,2,,6,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,33.08,NA,NA,23.47826087,NA,NA
165,Campanulastrum americananum,8,,4,4,NA,NA,alternate,green,simple,SpSuF,NA,NA,NA,herb,fast,annual,NA,no,low,no,none,NA,yes,non-woody,no,NA,NA,19.63,NA,0.225110881,46.2962963,NA,1.8288
166,Campanula aparinoides,10,,,8,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,none,intolerant,yes,non-woody,no,NA,0.149372973,NA,NA,0.64699793,NA,71.33511324,0.27365
168,Campanula rotundifolia,7,,,8,gravity,seed,alternate,NA,simple,SpSuF,evergreen,plastic,c3,herb,NA,perennial,seed and vegetative,NA,med,NA,NA,intolerant,yes,non-woody,NA,orthodox,0.242273917,22.41879801,95,0.060227008,22.11363636,25.34881797,0.165732692
172,Cardamine bulbosa,8,,7,5,NA,NA,alternate,green,simple,Sp,NA,NA,NA,herb,fast,perennial,NA,no,none,intermediate,none,tolerant,yes,non-woody,no,NA,NA,NA,NA,NA,NA,NA,0.42672
173,Cardamine concatenata,8,,6,4,NA,NA,whorled,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,47.16666667,NA,1.828285714,NA,NA,0.4
174,Cardamine pensylvanica,6,2,4,3,NA,NA,alternate,green,compound,Sp,NA,NA,NA,herb,fast,perennial,NA,no,none,no,none,tolerant,yes,non-woody,no,NA,NA,NA,NA,0.270612978,NA,NA,0.4572
177,Carex aggregata,10,,6,4,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,Carex alopecoidea,7,,,4,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.83,NA,NA,NA
179,Carex grisea,4,,3,3,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,none,NA,yes,non-woody,no,NA,NA,NA,NA,NA,NA,NA,0.6096
182,Carex atherodes,4,5,,6,multi,fruit,alternate,green,simple,SpSu,deciduous,NA,c3,graminoid,moderate,perennial,NA,no,low,intermediate,none,intolerant,yes,non-woody,no,NA,0.307152872,NA,NA,1.565508099,NA,NA,1.056
184,Carex aurea,8,3,7,9,NA,NA,alternate,green,simple,SpSu,NA,NA,c3,graminoid,slow,perennial,NA,no,none,intermediate,none,intermediate,yes,non-woody,yes,NA,NA,NA,NA,2.529,NA,NA,0.36576
185,Carex bebbii,8,3,,,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,none,intermediate,none,tolerant,yes,non-woody,no,NA,NA,NA,NA,0.358060621,NA,NA,0.9144
187,Carex blanda,5,,1,2,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,graminoid,slow,perennial,NA,no,low,intermediate,none,tolerant,yes,non-woody,no,NA,NA,26.2,NA,NA,27.38095238,NA,0.6096
188,Carex brevior,4,,5,4,NA,NA,alternate,NA,simple,NA,NA,NA,c3,graminoid,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.337493268,45.32,82.75,0.89,20.83333333,20.91292921,0.261352941
189,Carex brunnescens,10,5,,,NA,fruit,alternate,NA,simple,NA,NA,NA,c3,graminoid,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,uncertain,NA,NA,NA,0.395333333,NA,NA,0.275
190,Carex buxbaumii,10,9,8,9,auto,fruit,alternate,NA,simple,NA,deciduous,NA,c3,graminoid,NA,perennial,NA,NA,NA,NA,NA,intolerant,yes,non-woody,NA,orthodox,0.286842,NA,75,1.217714286,NA,11.478,0.558333333
191,Carex capillaris,10,6,,,auto,fruit,alternate,green,simple,SpSu,evergreen,NA,c3,graminoid,moderate,perennial,seed,no,low,intermediate,none,intolerant,yes,non-woody,no,orthodox,0.420682,NA,100,0.604545455,NA,13.362,0.229795556
192,Carex chordorrhiza,10,9,,,NA,seed,alternate,NA,simple,NA,deciduous,NA,c3,graminoid,NA,perennial,vegetative,NA,NA,NA,NA,intolerant,yes,non-woody,NA,orthodox,0.34811,NA,NA,1.4855,NA,21.842,0.169444444
193,Carex comosa,10,,,6,NA,NA,alternate,green,simple,SpSuF,NA,NA,NA,herb,slow,perennial,NA,no,low,intermediate,low,intermediate,yes,non-woody,no,NA,0.24853253,NA,84,1.03,24.60430945,NA,1.524
195,Carex crawei,9,,6,7,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.3,NA,NA,1.02,NA,NA,0.136
196,Carex cristatella,7,,,3,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,none,tolerant,yes,non-woody,no,NA,NA,NA,96,0.2,NA,NA,0.9144
197,Carex davisii,10,,4,3,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,2,NA,NA,NA
199,Carex diandra,10,5,,,gravity,fruit,alternate,green,simple,SpSu,deciduous,NA,c3,graminoid,slow,perennial,NA,no,none,intermediate,none,intolerant,yes,non-woody,yes,orthodox,NA,14.6,NA,0.45805,NA,13.9,0.528581818
200,Carex disperma,9,6,,10,NA,NA,alternate,green,simple,SpSu,NA,NA,c3,graminoid,moderate,perennial,NA,no,low,intermediate,low,intermediate,yes,non-woody,no,NA,NA,NA,NA,0.744000012,NA,NA,0.6096
202,Carex emoryi,4,,5,6,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,Carex filifolia,7,,8,,NA,NA,alternate,green,simple,SpSu,NA,NA,c3,graminoid,slow,perennial,NA,no,med,intermediate,none,intolerant,yes,non-woody,no,NA,NA,16.11,NA,2.9,NA,NA,0.23892
206,Carex gracillima,10,,,9,NA,NA,alternate,dark green,simple,SpSu,NA,NA,NA,herb,slow,perennial,NA,no,low,intermediate,none,tolerant,yes,non-woody,no,NA,NA,NA,NA,1.174,NA,NA,0.9144
208,Carex haydenii,10,,,7,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,Carex hystericina,7,,,6,NA,NA,alternate,NA,simple,NA,NA,NA,NA,graminoid,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.268352523,21.67,NA,0.4622,20.58681007,NA,NA
211,Carex interior,10,5,7,8,NA,NA,alternate,green,simple,SpSu,NA,NA,c3,graminoid,slow,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,no,NA,NA,20.68476152,NA,0.5,NA,17.33833764,0.264866667
212,Carex lacustris,6,7,,6,NA,NA,alternate,green,simple,SpSu,NA,NA,c3,graminoid,fast,perennial,NA,no,none,intermediate,none,tolerant,yes,non-woody,no,NA,0.371375,13.6,NA,1.615,NA,13.95675438,1.107882353
213,Carex laeviconica,6,,8,10,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Carex limosa,10,8,,,gravity,seed,alternate,green,simple,SpSu,evergreen,serrulate,c3,graminoid,slow,perennial,NA,no,none,intermediate,none,intolerant,yes,non-woody,yes,NA,0.311112,NA,NA,1.582811111,22,26.954,0.350330909
216,Carex meadii,7,,,6,NA,NA,alternate,NA,simple,NA,NA,NA,c3,graminoid,NA,perennial,NA,yes,NA,NA,NA,NA,NA,non-woody,NA,NA,0.443826127,19.185,NA,3.066666667,16.82099209,NA,0.2292
217,Carex nebrascensis,6,,7,,NA,NA,alternate,gray-green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,none,intermediate,low,intolerant,yes,non-woody,yes,NA,NA,29.48236879,NA,NA,NA,NA,0.9144
218,Carex normalis,7,,5,4,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,fast,perennial,NA,no,none,intermediate,none,tolerant,yes,non-woody,no,NA,NA,NA,93,0.73,NA,NA,1.524
221,Carex pensylvanica,8,,,5,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.327631188,36.60607524,NA,1.79,NA,28.09436728,0.157751938
222,Carex praegracilis,5,3,3,,NA,NA,alternate,green,simple,SpSu,NA,NA,c3,herb,moderate,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,no,NA,NA,NA,NA,0.5155,NA,NA,0.6096
223,Carex prairea,10,7,,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,Carex retrorsa,6,5,,7,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,18.48,54,1.488571429,23.00437083,NA,NA
226,Carex richardsonii,9,,,10,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.32869627,NA,NA,NA,NA,23.96552711,0.364722222
227,Carex rosea,8,,7,5,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.97,NA,NA,NA
232,Carex scoparia,8,,7,5,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,none,intermediate,low,tolerant,yes,non-woody,no,NA,NA,16.92982013,NA,NA,NA,NA,0.336032258
233,Carex sparganioides,10,,7,4,NA,NA,alternate,dark green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,none,tolerant,yes,non-woody,no,NA,0.225734031,NA,NA,NA,NA,31.96367511,0.42688
234,Carex sprengelii,7,,,8,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,1.89,NA,NA,NA
236,Carex stipata,7,5,4,2,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,slow,perennial,NA,no,low,intermediate,low,tolerant,yes,non-woody,no,NA,0.146180762,NA,NA,0.7396,42.52185448,NA,1.0668
237,Carex stricta,10,,,5,NA,NA,alternate,green,simple,Sp,NA,NA,c3,graminoid,moderate,perennial,NA,no,low,no,none,tolerant,yes,non-woody,no,NA,0.325976923,17.24455204,NA,0.4738,NA,15.60861923,0.524236923
238,Carex sychnocephala,7,5,,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Carex tenera,7,5,,5,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,slow,perennial,NA,no,med,intermediate,none,tolerant,yes,non-woody,no,NA,NA,NA,84,0.51,NA,NA,0.762
240,Carex tetanica,9,,8,5,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Carex torreyi,10,5,,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,Carex tribuloides,8,,4,3,NA,NA,alternate,green,simple,SpSu,NA,NA,NA,herb,slow,perennial,NA,no,low,intermediate,none,tolerant,yes,non-woody,no,NA,0.2592,NA,NA,NA,NA,42.55161,0.5122
244,Carex vesicaria,10,,,9,gravity,seed,alternate,green,simple,SpSu,deciduous,NA,c3,graminoid,moderate,perennial,NA,no,low,intermediate,low,intolerant,yes,non-woody,no,orthodox,0.32256,19.2,NA,1.07798,17.34285714,NA,0.717866667
245,Carex viridula,10,7,,9,gravity,seed,alternate,green,simple,SpSu,evergreen,NA,c3,graminoid,moderate,perennial,seed,no,low,intermediate,high,intolerant,yes,non-woody,no,orthodox,0.321039453,20.50013697,88.5,0.571283871,NA,17.98383431,0.236407921
246,Carex vulpinoidea,2,7,3,3,NA,fruit,alternate,green,simple,Sp,NA,NA,NA,graminoid,moderate,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,no,NA,0.314967534,27.53,NA,0.78409911,16.15942029,18.67198426,0.333954286
249,Chamaecrista fasciculata,2,,,1,NA,NA,alternate,green,compound,NA,NA,NA,NA,herb,NA,annual,NA,no,med,None,none,tolerant,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,Castilleja sessiliflora,8,,7,10,NA,NA,alternate,yellow-green,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,high,intermediate,none,intolerant,yes,non-woody,no,NA,NA,NA,NA,0.182676663,NA,NA,0.39624
254,Caulophyllum thalictroides,10,,,8,animal,NA,alternate,green,compound,SpSu,NA,NA,c3,herb,moderate,perennial,NA,no,low,no,none,tolerant,NA,non-woody,yes,NA,0.217145259,50.22,NA,198.62,NA,48.2879992,0.546933333
255,Ceanothus herbaceus,10,,8,9,NA,NA,alternate,NA,simple,NA,deciduous,NA,c3,shrub,NA,perennial,NA,NA,NA,NA,NA,NA,NA,woody,NA,NA,NA,24.76,NA,NA,12.25490196,NA,NA
256,Celastrus scandens,5,,4,2,auto,NA,alternate,green,simple,SpSu,deciduous,NA,NA,vine,fast,perennial,NA,no,med,intermediate,none,tolerant,NA,woody,yes,orthodox,0.202237979,22.08466667,NA,16.25941014,NA,36.71030908,0.684171429
260,Cerastium arvense,2,,,4,gravity,seed,opposite,NA,simple,NA,evergreen,cuneate,c3,herb,NA,perennial,NA,NA,NA,NA,NA,intolerant,yes,non-woody,NA,orthodox,0.241815632,29.59,100,0.201694118,21.12909091,23.63006614,0.07060355
261,Cerastium brachypodum,1,,2,,NA,NA,opposite,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.058,NA,NA,NA
262,Ceratophyllum demersum,4,,3,3,gravity,fruit,whorled,gray-green,simple,Su,deciduous,lobed,c3,herb,fast,perennial,NA,no,none,yes,none,intolerant,yes,non-woody,no,orthodox,0.101006391,42.1,NA,2.744839701,27.07111111,63.79784747,0.99
267,Chenopodium fremontii,3,,7,,NA,NA,alternate,NA,simple,NA,deciduous,NA,c3,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.1868,29.2925,88,0.405857143,20.66935589,NA,0.5445
269,Chenopodium incanum,2,,6,,NA,NA,alternate,NA,simple,NA,deciduous,NA,c3,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,38.72945462,NA,NA,NA,11.66,NA
270,Chenopodium subglabrum,8,,4,,NA,NA,alternate,NA,simple,NA,NA,NA,c3,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,Chloris verticillata,2,,0,,multi,NA,alternate,NA,simple,NA,NA,NA,NA,graminoid,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,16.93,NA,0.31,25.87157937,NA,NA
277,Cicuta bulbifera,9,5,,,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.13776,NA,NA,1.577,NA,70.21509,0.514
278,Cicuta maculata,4,3,5,4,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,biennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,12.1,NA,2.983333333,NA,NA,NA
279,Cinna arundinacea,8,,4,5,NA,NA,alternate,green,simple,Sp,NA,NA,NA,graminoid,moderate,perennial,NA,no,low,intermediate,none,tolerant,yes,non-woody,no,NA,NA,NA,NA,0.5092,NA,NA,1.49352
280,Cinna latifolia,8,6,,10,NA,NA,alternate,green,simple,SpSuF,NA,NA,NA,graminoid,moderate,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,no,NA,NA,NA,NA,0.102610996,NA,NA,1.3716
281,Circaea lutetiana,4,,6,2,animal,fruit,opposite,NA,simple,NA,deciduous,truncate,c3,herb,NA,perennial,vegetative,NA,NA,NA,NA,tolerant,yes,non-woody,NA,orthodox,0.153884616,25.44250303,64,2.045590476,36.7,58.42963578,0.321730769
282,Cirsium altissimum,3,,2,3,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,11.53,NA,4.4995,10.868037,NA,NA
285,Cirsium flodmanii,5,,8,,NA,NA,alternate,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,Cirsium muticum,10,,,9,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,biennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,14.5,NA,2.723,NA,NA,NA
288,Clematis virginiana,4,,7,3,wind,NA,opposite,green,compound,SpSu,deciduous,NA,NA,vine,slow,perennial,NA,yes,med,intermediate,none,intermediate,NA,woody,yes,orthodox,0.241509888,NA,NA,2.840641103,NA,34.58917361,2.4185
292,Commelina erecta,10,,4,5,multi,NA,alternate,NA,simple,NA,NA,ovate,NA,herb,NA,perennial,NA,yes,NA,yes,NA,NA,NA,non-woody,NA,NA,NA,12.36,NA,11.47,30,NA,0.348269231
296,Conyza ramosissima,0,,,1,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,Coreopsis tinctoria,3,,1,,NA,NA,opposite,green,simple,SpSu,deciduous,NA,c3,herb,fast,perennial,NA,no,low,no,none,intermediate,yes,non-woody,no,orthodox,0.1529,14.706,NA,0.271455473,14.36677923,NA,0.224971429
302,Corydalis micrantha,2,,0,4,NA,NA,alternate,NA,compound,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,Corylus americana,9,,5,4,auto,NA,alternate,green,simple,SpSu,deciduous,acuminate,c3,shrub,moderate,perennial,NA,no,med,intermediate,none,intermediate,NA,woody,yes,intermediate,0.304970988,21.55563333,NA,782.3954825,NA,28.29221314,0.798380952
305,Crataegus mollis,3,,4,2,animal,NA,alternate,NA,simple,NA,deciduous,acute,c3,tree,NA,perennial,NA,NA,NA,NA,NA,NA,NA,woody,NA,orthodox,NA,NA,NA,9,NA,NA,10.73066667
306,Crataegus succulenta,5,,,5,NA,NA,alternate,NA,simple,NA,NA,NA,NA,shrub,NA,perennial,NA,NA,NA,NA,NA,NA,NA,woody,NA,orthodox,NA,NA,NA,22.10875,NA,NA,NA
309,Crepis runcinata,8,,5,,NA,NA,alternate,green,simple,Su,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,medium,intolerant,yes,non-woody,no,NA,NA,NA,NA,0.566123188,NA,NA,0.3048
311,Croton texensis,4,,1,,NA,NA,alternate,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,5.1,NA,NA,NA
313,Diervilla lonicera,10,,,9,NA,NA,alternate,dark green,simple,Sp,deciduous,NA,NA,shrub,slow,perennial,NA,yes,high,intermediate,none,intermediate,NA,woody,no,orthodox,0.242025087,21.46851852,NA,NA,NA,37.41028343,0.416224
316,Dodecatheon pulchellum,7,6,,,NA,NA,rosette,green,simple,SpSu,NA,NA,NA,herb,NA,perennial,NA,no,low,intermediate,none,intermediate,none,non-woody,no,NA,NA,25.94875,94.5,0.344636364,NA,NA,0.36095
318,Draba reptans,1,,2,3,NA,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.149302,NA,NA,0.057571429,NA,29.4719348,NA
319,Dracocephalum parviflorum,2,1,,,NA,NA,opposite,NA,simple,NA,deciduous,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,2.09475,NA,NA,NA
322,Dryopteris cristata,10,,,8,NA,spore,rosette,dark green,compound,SpSu,evergreen,pinneate,c3,fern,moderate,perennial,NA,no,low,no,none,low,yes,non-woody,no,NA,NA,NA,NA,NA,NA,NA,0.55471
323,Dryopteris filix-mas,10,,,9,NA,spore,rosette,NA,compound,NA,deciduous,pinnate,c3,fern,NA,perennial,NA,NA,NA,NA,NA,intermediate,none,non-woody,NA,NA,0.3155,NA,NA,NA,24.2,35.71249249,0.928125
324,Dulichium arundinaceum,10,,,9,NA,NA,alternate,dark green,simple,Su,NA,NA,NA,herb,moderate,perennial,NA,no,low,intermediate,none,intermediate,yes,non-woody,no,NA,NA,38.08,91.66666667,0.523333333,16.16292226,NA,0.79248
326,Echinacea angustifolia,7,,6,,NA,NA,alternate,NA,simple,NA,NA,NA,c3,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,16.85,NA,124.6374,9.976033768,NA,NA
331,Elatine rubella,0,9,2,,animal,seed,opposite,NA,simple,NA,deciduous,lanceolate,NA,herb,NA,annual,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,orthodox,NA,NA,NA,NA,NA,NA,0.0575
332,Eleocharis acicularis,3,4,5,,gravity,seed,rosette,NA,simple,SpSuF,evergreen,NA,c3,herb,moderate,perennial,vegetative,no,low,intermediate,low,intolerant,yes,non-woody,yes,orthodox,0.147308,NA,NA,0.099222061,NA,76.892,0.101336
333,Eleocharis compressa,8,,6,7,NA,NA,rosette,NA,simple,SpSu,NA,NA,NA,herb,moderate,perennial,NA,no,none,intermediate,none,intolerant,yes,non-woody,no,NA,0.3375,NA,NA,0.334703435,NA,NA,0.6096
334,Eleocharis erythropoda,2,,4,3,NA,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,0.223230794,20.16,49,0.31,12.41099578,NA,NA
335,Eleocharis macrostachya,4,,3,,NA,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,0.471,NA,NA,NA
336,Eleocharis obtusa,2,,3,2,NA,NA,rosette,dark green,simple,Sp,NA,NA,NA,herb,moderate,perennial,NA,no,low,yes,none,NA,none,non-woody,no,NA,0.269939026,18.2,87,0.150857143,13.84476546,NA,0.48768
338,Eleocharis rostellata,10,,8,,NA,NA,rosette,NA,simple,SpSuF,NA,NA,NA,herb,moderate,perennial,NA,no,none,intermediate,medium,intolerant,none,non-woody,no,NA,NA,NA,NA,0.81,NA,NA,0.9144
339,Eleocharis wolfii,10,,5,9,NA,NA,rosette,NA,simple,NA,NA,NA,NA,herb,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,Elodea canadensis,8,5,,5,gravity,vegetative,whorled,gray-green,simple,Sp,evergreen,NA,c3,herb,fast,perennial,vegetative,no,none,yes,none,intolerant,yes,non-woody,no,NA,0.191785897,43.9,NA,NA,41.71714286,87.59064355,1.03125
342,Elodea nuttallii,10,,6,6,animal,vegetative,whorled,NA,simple,NA,evergreen,NA,c3,herb,NA,perennial,vegetative,NA,NA,NA,none,intolerant,yes,non-woody,NA,uncertain,0.23713125,33.23333333,NA,NA,26.05,62.287,1.03125
343,Elymus canadensis,3,,5,4,NA,NA,alternate,green,simple,SpSuF,deciduous,NA,c3,graminoid,fast,perennial,NA,no,med,no,medium,tolerant,yes,non-woody,no,orthodox,0.371991277,27.338062,99,4.061592942,25.2830243,18.39601684,0.973146667
346,Elymus villosus,4,,5,,NA,NA,alternate,NA,simple,NA,NA,NA,c3,graminoid,NA,perennial,NA,NA,NA,NA,NA,NA,NA,non-woody,NA,NA,NA,NA,NA,3.428,14.00405831,NA,NA
347,Elymus virginicus,4,,3,,NA,NA,alternate,green,simple,Sp,deciduous,NA,c3,herb,moderate,perennial,NA,no,med,intermediate,none,tolerant,yes,non-woody,no,orthodox,0.411689081,37.86,100,4.934832126,21.85247068,20.21357946,0.8279375
348,Chamaenerion angustifolium,5,1,,3,gravity,seed,alternate,NA,simple,NA,deciduous,cuneate,c3,herb,NA,perennial,seed and vegetative,NA,med,no,none,intolerant,yes,non-woody,NA,orthodox,0.27958123,28.760569,41.78495976,0.168808889,18.47216669,18.96333416,1.0634875
349,Epilobium coloratum,8,,4,3,NA,NA,alternate,green,simple,Sp,NA,NA,NA,herb,moderate,perennial,NA,no,low,no,none,intermediate,yes,non-woody,no,NA,0.243981079,18.2,NA,0.090138026,25.64102564,28.55260353,0.789168
350,Equisetum arvense,4,1,2,0,NA,spore,whorled,green,simple,Sp,deciduous,NA,c3,herb,fast,perennial,NA,no,none,no,none,intermediate,yes,non-woody,no,NA,0.258008745,24.48866866,NA,0.00001,14.42398072,13.1276759,0.385891163
351,Equisetum fluviatile,8,5,,7,NA,spore,whorled,green,simple,SpSu,deciduous,NA,c3,herb,fast,perennial,NA,no,none,intermediate,none,intermediate,yes,non-woody,no,NA,0.268917122,5.912521055,NA,0.00001,NA,11.11319062,0.9604
352,Equisetum hyemale,3,4,,2,NA,spore,whorled,NA,simple,NA,evergreen,NA,c3,herb,NA,perennial,NA,NA,NA,NA,none,low,yes,non-woody,NA,NA,0.276248909,17.60869235,NA,NA,NA,3.889038803,0.468484848
353,Equisetum laevigatum,3,4,,4,NA,NA,whorled,green,simple,Sp,NA,NA,NA,herb,fast,perennial,NA,no,none,yes,low,intolerant,none,non-woody,no,NA,0.137501954,NA,NA,NA,NA,NA,0.820818182
354,Equisetum palustre,8,4,,10,NA,spore,whorled,NA,simple,NA,deciduous,NA,c3,herb,NA,perennial,NA,NA,NA,NA,none,low,yes,non-woody,NA,NA,0.199862435,18.41677147,NA,NA,7.794,9.408744697,0.375375
355,Equisetum pratense,10,5,,9,NA,spore,whorled,NA,simple,NA,deciduous,NA,c3,herb,NA,perennial,NA,NA,NA,NA,none,intermediate,yes,non-woody,NA,NA,NA,NA,NA,0.00001,NA,NA,0.395833333
